transaction_id,user_id,timestamp,amount,sender_id,receiver_id,transaction_type,merchant_category,device_id,location,status,is_anomaly_ground_truth,anomaly_type,hour,day_of_week,day,is_weekend,is_night,previous_amount,previous_timestamp,minutes_since_previous,user_mean_amount,user_median_amount,amount_to_user_mean,amount_deviation,user_transaction_count,first_device,is_new_device,previous_location,is_location_change,recipient_pair,recipient_transaction_count,is_new_recipient,hour_sin,hour_cos,is_transaction_burst,log_amount
TXN000209,USER0001,2026-01-01 09:53:04,1370.4,USER0001,MERCHANT0170,P2M,Healthcare,DEV0001,Mumbai,SUCCESS,0,NORMAL,9,3,2026-01-01,0,0,0.0,,1440.0,997.165,997.165,1.3742961295272098,373.2350000000001,0,DEV0001,0,,0,USER0001_MERCHANT0170,0,1,0.7071067811865476,-0.7071067811865475,0,7.223587394850264
TXN000568,USER0001,2026-01-02 02:10:45,1666.51,USER0001,MERCHANT0398,RECHARGE,Entertainment,DEV0001,Mumbai,SUCCESS,0,NORMAL,2,4,2026-01-02,0,1,1370.4,2026-01-01 09:53:04,977.6833333333333,1370.4,1370.4,1.2160755983654408,296.1099999999999,1,DEV0001,0,Mumbai,0,USER0001_MERCHANT0398,0,1,0.49999999999999994,0.8660254037844387,0,7.419086774773296
TXN002157,USER0001,2026-01-05 01:43:37,1519.69,USER0001,MERCHANT0129,RECHARGE,Utilities,DEV0001,Mumbai,SUCCESS,0,NORMAL,1,0,2026-01-05,0,1,1666.51,2026-01-02 02:10:45,4292.866666666667,1518.455,1518.455,1.0008133267037878,1.2350000000001273,2,DEV0001,0,Mumbai,0,USER0001_MERCHANT0129,0,1,0.25881904510252074,0.9659258262890683,0,7.326919458205808
TXN002671,USER0001,2026-01-06 01:13:43,167.36,USER0001,MERCHANT0148,RECHARGE,Utilities,DEV0001,Mumbai,SUCCESS,0,NORMAL,1,1,2026-01-06,0,1,1519.69,2026-01-05 01:43:37,1410.1,1518.8666666666668,1519.69,0.1101874204450687,-1351.5066666666667,3,DEV0001,0,Mumbai,0,USER0001_MERCHANT0148,0,1,0.25881904510252074,0.9659258262890683,0,5.12610454390237
TXN005198,USER0001,2026-01-10 18:46:17,1886.59,USER0001,MERCHANT0335,BILL_PAYMENT,Grocery,DEV0001,Mumbai,FAILED,0,NORMAL,18,5,2026-01-10,1,0,167.36,2026-01-06 01:13:43,6812.566666666667,1180.99,1445.045,1.5974648388216666,705.5999999999999,4,DEV0001,0,Mumbai,0,USER0001_MERCHANT0335,0,1,-1.0,-1.8369701987210297e-16,0,7.543056162105629
TXN006790,USER0001,2026-01-13 19:31:06,1035.57,USER0001,MERCHANT0468,P2M,Food,DEV0001,Mumbai,SUCCESS,0,NORMAL,19,1,2026-01-13,0,0,1886.59,2026-01-10 18:46:17,4364.816666666667,1322.1100000000001,1519.69,0.7832706809569551,-286.5400000000002,5,DEV0001,0,Mumbai,0,USER0001_MERCHANT0468,0,1,-0.9659258262890684,0.2588190451025203,0,6.943672464568919
TXN007767,USER0001,2026-01-15 15:21:43,1422.72,USER0001,MERCHANT0126,P2M,Grocery,DEV0001,Mumbai,SUCCESS,0,NORMAL,15,3,2026-01-15,0,0,1035.57,2026-01-13 19:31:06,2630.616666666667,1274.3533333333332,1445.045,1.1164250626461527,148.3666666666668,6,DEV0001,0,Mumbai,0,USER0001_MERCHANT0126,0,1,-0.7071067811865471,-0.7071067811865479,0,7.2610284434243795
TXN008368,USER0001,2026-01-16 19:32:11,1571.64,USER0001,MERCHANT0213,P2P,Food,DEV0001,Mumbai,FAILED,0,NORMAL,19,4,2026-01-16,0,0,1422.72,2026-01-15 15:21:43,1690.4666666666667,1295.5485714285714,1422.72,1.2131077403504749,276.09142857142865,7,DEV0001,0,Mumbai,0,USER0001_MERCHANT0213,0,1,-0.9659258262890684,0.2588190451025203,0,7.36051101481832
TXN009199,USER0001,2026-01-18 08:57:06,1400.59,USER0001,MERCHANT0171,P2M,Travel,DEV0001,Mumbai,FAILED,0,NORMAL,8,6,2026-01-18,1,0,1571.64,2026-01-16 19:32:11,2244.9166666666665,1330.06,1471.205,1.053027682961671,70.52999999999997,8,DEV0001,0,Mumbai,0,USER0001_MERCHANT0171,0,1,0.8660254037844387,-0.4999999999999998,0,7.245362585453479
TXN009343,USER0001,2026-01-18 15:39:32,762.57,USER0001,MERCHANT0329,RECHARGE,Grocery,DEV0001,Mumbai,FAILED,0,NORMAL,15,6,2026-01-18,1,0,1400.59,2026-01-18 08:57:06,402.43333333333334,1337.8966666666665,1422.72,0.5699767545575269,-575.3266666666665,9,DEV0001,0,Mumbai,0,USER0001_MERCHANT0329,0,1,-0.7071067811865471,-0.7071067811865479,0,6.638004803494692
